Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1995-04-28,2.7314027205973916,2.753806503879923,2.707131862640381,2.707131862640381,23500,0.0,0.0,DPM.TO
1995-05-01,2.7314023971557617,2.7314023971557617,2.7071315420728075,2.7314023971557617,26500,0.0,0.0,DPM.TO
1995-05-02,2.731402570563449,2.753806352615357,2.7071317139396185,2.7538063526153564,94000,0.0,0.0,DPM.TO
1995-05-03,2.753806505992267,2.7780773639678955,2.753806505992267,2.7780773639678955,84000,0.0,0.0,DPM.TO
1995-05-04,2.7538062063929374,2.800480842590332,2.7538062063929374,2.800480842590332,45000,0.0,0.0,DPM.TO
1995-05-05,2.7780772092391874,2.800480991291095,2.753806352615357,2.7538063526153564,37500,0.0,0.0,DPM.TO
1995-05-08,2.753806505992267,2.7780773639678955,2.753806505992267,2.7780773639678955,38000,0.0,0.0,DPM.TO
1995-05-09,2.7538061777853278,2.778077032868282,2.7071315420728075,2.7314023971557617,96500,0.0,0.0,DPM.TO
1995-05-10,2.7314028596165207,2.7314028596165207,2.6380533498240184,2.660457134246826,34500,0.0,0.0,DPM.TO
1995-05-11,2.6604563399786954,2.7071311922214925,2.6604563399786954,2.684727191925049,43500,0.0,0.0,DPM.TO
1995-05-12,2.6847278567956048,2.707131862640381,2.6137823575990518,2.707131862640381,140000,0.0,0.0,DPM.TO
1995-05-15,2.7314023971557617,2.7314023971557617,2.7071315420728075,2.7314023971557617,47000,0.0,0.0,DPM.TO
1995-05-16,2.7314027205973916,2.7314027205973916,2.6847278567956048,2.707131862640381,59500,0.0,0.0,DPM.TO
1995-05-17,2.6604563399786954,2.731402044167846,2.6604563399786954,2.684727191925049,56000,0.0,0.0,DPM.TO
1995-05-18,2.6847278567956048,2.707131862640381,2.6847278567956048,2.707131862640381,12000,0.0,0.0,DPM.TO
1995-05-19,2.7071315420728075,2.7314023971557617,2.7071315420728075,2.7314023971557617,22000,0.0,0.0,DPM.TO
1995-05-23,2.6847279934391413,2.7314028596165207,2.6137824906317033,2.660457134246826,97000,0.0,0.0,DPM.TO
1995-05-24,2.6604569988385935,2.707131862640381,2.6380532155560625,2.707131862640381,52000,0.0,0.0,DPM.TO
1995-05-25,2.6847275388810226,2.7314023971557617,2.6847275388810226,2.7314023971557617,25500,0.0,0.0,DPM.TO
1995-05-26,2.7314023971557617,2.7314023971557617,2.6847275388810226,2.7314023971557617,39000,0.0,0.0,DPM.TO
1995-05-29,2.707131862640381,2.707131862640381,2.707131862640381,2.707131862640381,10000,0.0,0.0,DPM.TO
1995-05-30,2.6847278567956048,2.707131862640381,2.6604569988385935,2.707131862640381,36500,0.0,0.0,DPM.TO
1995-05-31,2.6847278567956048,2.707131862640381,2.6847278567956048,2.707131862640381,11500,0.0,0.0,DPM.TO
1995-06-01,2.7071311922214925,2.7071311922214925,2.6604563399786954,2.684727191925049,46000,0.0,0.0,DPM.TO
1995-06-02,2.6847279063595817,2.6847279063595817,2.6137824058532715,2.6137824058532715,66000,0.0,0.0,DPM.TO
1995-06-05,2.6137820849434457,2.660456721314142,2.6137820849434457,2.6380529403686523,28000,0.0,0.0,DPM.TO
1995-06-06,2.6137824906317033,2.6847279934391413,2.6137824906317033,2.660457134246826,29500,0.0,0.0,DPM.TO
1995-06-07,2.684727576739349,2.684727576739349,2.6380529403686523,2.6380529403686523,24000,0.0,0.0,DPM.TO
1995-06-08,2.684727576739349,2.684727576739349,2.6380529403686523,2.6380529403686523,12000,0.0,0.0,DPM.TO
1995-06-09,2.6137820849434457,2.684727576739349,2.6137820849434457,2.6380529403686523,32000,0.0,0.0,DPM.TO
1995-06-12,2.684727191925049,2.7071311922214925,2.6380525622444417,2.684727191925049,115500,0.0,0.0,DPM.TO
1995-06-13,2.684727191925049,2.684727191925049,2.6604563399786954,2.684727191925049,101500,0.0,0.0,DPM.TO
1995-06-14,2.6604563399786954,2.7071311922214925,2.6604563399786954,2.684727191925049,49500,0.0,0.0,DPM.TO
1995-06-15,2.6604569988385935,2.707131862640381,2.6604569988385935,2.707131862640381,118000,0.0,0.0,DPM.TO
1995-06-16,2.707131864716923,2.7780773639678955,2.707131864716923,2.7780773639678955,152500,0.0,0.0,DPM.TO
1995-06-19,2.7780772092391874,2.7780772092391874,2.753806352615357,2.7538063526153564,65500,0.0,0.0,DPM.TO
1995-06-20,2.778077032868282,2.778077032868282,2.7071315420728075,2.7314023971557617,572000,0.0,0.0,DPM.TO
1995-06-21,2.731402570563449,2.753806352615357,2.731402570563449,2.7538063526153564,9500,0.0,0.0,DPM.TO
1995-06-22,2.731402570563449,2.753806352615357,2.731402570563449,2.7538063526153564,10000,0.0,0.0,DPM.TO
1995-06-23,2.731402570563449,2.753806352615357,2.731402570563449,2.7538063526153564,22500,0.0,0.0,DPM.TO
1995-06-26,2.707131862640381,2.7314027205973916,2.707131862640381,2.707131862640381,16000,0.0,0.0,DPM.TO
1995-06-27,2.707131862640381,2.7314027205973916,2.707131862640381,2.707131862640381,264500,0.0,0.0,DPM.TO
1995-06-28,2.707131862640381,2.707131862640381,2.6847278567956048,2.707131862640381,45500,0.0,0.0,DPM.TO
1995-06-29,2.6847278567956048,2.707131862640381,2.6847278567956048,2.707131862640381,11500,0.0,0.0,DPM.TO
1995-06-30,2.7071315802470606,2.7071315802470606,2.6380529403686523,2.6380529403686523,36500,0.0,0.0,DPM.TO
1995-07-04,2.613782473084661,2.613782473084661,2.591378688812256,2.591378688812256,29000,0.0,0.0,DPM.TO
1995-07-05,2.6137824058532715,2.6380532642583576,2.591378622157134,2.6137824058532715,26000,0.0,0.0,DPM.TO
1995-07-06,2.6137820849434457,2.6380529403686523,2.6137820849434457,2.6380529403686523,20000,0.0,0.0,DPM.TO
1995-07-07,2.6380525622444417,2.7071311922214925,2.6380525622444417,2.684727191925049,52000,0.0,0.0,DPM.TO
1995-07-10,2.6847279934391413,2.6847279934391413,2.6380533498240184,2.660457134246826,50500,0.0,0.0,DPM.TO
1995-07-11,2.6380529403686523,2.660456721314142,2.6380529403686523,2.6380529403686523,28000,0.0,0.0,DPM.TO
1995-07-12,2.638053070649739,2.753806352615357,2.638053070649739,2.7538063526153564,118500,0.0,0.0,DPM.TO
1995-07-13,2.7071320004242057,2.7071320004242057,2.660457134246826,2.660457134246826,167500,0.0,0.0,DPM.TO
1995-07-14,2.660457134246826,2.660457134246826,2.660457134246826,2.660457134246826,33500,0.0,0.0,DPM.TO
1995-07-17,2.660457134246826,2.660457134246826,2.6380533498240184,2.660457134246826,56500,0.0,0.0,DPM.TO
1995-07-18,2.6380533498240184,2.660457134246826,2.6380533498240184,2.660457134246826,110000,0.0,0.0,DPM.TO
1995-07-19,2.6380532642583576,2.660457047954495,2.6137824058532715,2.6137824058532715,68500,0.0,0.0,DPM.TO
1995-07-20,2.6137820849434457,2.6380529403686523,2.6137820849434457,2.6380529403686523,20000,0.0,0.0,DPM.TO
1995-07-21,2.6380529403686523,2.6380529403686523,2.6137820849434457,2.6380529403686523,26500,0.0,0.0,DPM.TO
1995-07-24,2.6137820849434457,2.6380529403686523,2.591378303997956,2.6380529403686523,245500,0.0,0.0,DPM.TO
1995-07-25,2.6380533321140387,2.6380533321140387,2.591378688812256,2.591378688812256,156500,0.0,0.0,DPM.TO
1995-07-26,2.591378688812256,2.591378688812256,2.591378688812256,2.591378688812256,230500,0.0,0.0,DPM.TO
1995-07-27,2.591378688812256,2.613782473084661,2.591378688812256,2.591378688812256,16500,0.0,0.0,DPM.TO
1995-07-28,2.5913785350489476,2.5913785350489476,2.544703894516674,2.567107677459717,38500,0.0,0.0,DPM.TO
1995-07-31,2.544703894516674,2.567107677459717,2.544703894516674,2.567107677459717,24000,0.0,0.0,DPM.TO
1995-08-01,2.567107743941951,2.567107743941951,2.544703960418701,2.544703960418701,75000,0.0,0.0,DPM.TO
1995-08-02,2.544703960418701,2.567107743941951,2.5204331022009105,2.544703960418701,426500,0.0,0.0,DPM.TO
1995-08-03,2.544703565094857,2.5671073451376434,2.520432710647583,2.520432710647583,112000,0.0,0.0,DPM.TO
1995-08-04,2.544703960418701,2.567107743941951,2.544703960418701,2.544703960418701,64000,0.0,0.0,DPM.TO
1995-08-08,2.567107677459717,2.567107677459717,2.544703894516674,2.567107677459717,141000,0.0,0.0,DPM.TO
1995-08-09,2.5447040455104726,2.591378688812256,2.5447040455104726,2.591378688812256,41500,0.0,0.0,DPM.TO
1995-08-10,2.591378622157134,2.6137824058532715,2.591378622157134,2.6137824058532715,29000,0.0,0.0,DPM.TO
1995-08-11,2.591378622157134,2.6137824058532715,2.567107763752048,2.6137824058532715,29000,0.0,0.0,DPM.TO
1995-08-14,2.6137824058532715,2.6137824058532715,2.591378622157134,2.6137824058532715,67000,0.0,0.0,DPM.TO
1995-08-15,2.6380525622444417,2.684727191925049,2.6380525622444417,2.684727191925049,24000,0.0,0.0,DPM.TO
1995-08-16,2.6380533498240184,2.660457134246826,2.6137824906317033,2.660457134246826,43000,0.0,0.0,DPM.TO
1995-08-17,2.6847278567956048,2.707131862640381,2.6604569988385935,2.707131862640381,17000,0.0,0.0,DPM.TO
